Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784807455,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784807456,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784807457,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784807458,3,,Aggregated,0.000000,0.000000,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,1,0,2391.8302999954903,2391.8302999954903,2391.8302999954903,2391.8302999954903,69.0
1784807459,4,,Aggregated,0.000000,0.000000,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2,0,2300,2322.237349995703,2252.6443999959156,2391.8302999954903,308.5
1784807460,5,,Aggregated,0.000000,0.000000,2300,2300,2400,2400,2400,2400,2400,2400,2400,2400,2400,4,0,2200,1724.0494749967183,5.556999996770173,2391.8302999954903,192.75
1784807461,5,,Aggregated,0.000000,0.000000,2200,2300,2300,2400,2400,2400,2400,2400,2400,2400,2400,5,0,2200,1791.489059999003,5.556999996770173,2391.8302999954903,171.2
1784807462,5,,Aggregated,0.400000,0.000000,2100,2200,2300,2400,2700,2700,2700,2700,2700,2700,2700,9,1,2100,1444.2980555565252,5.556999996770173,2674.5736000011675,120.66666666666667
1784807463,5,,Aggregated,0.833333,0.000000,2100,2200,2300,2400,2700,2700,2700,2700,2700,2700,2700,10,1,810,1321.1180900005274,5.556999996770173,2674.5736000011675,163.2
1784807464,5,,Aggregated,0.833333,0.000000,2100,2200,2300,2400,2700,2700,2700,2700,2700,2700,2700,10,1,810,1321.1180900005274,5.556999996770173,2674.5736000011675,163.2
1784807465,5,,Aggregated,1.125000,0.125000,810,2100,2200,2300,2400,2700,2700,2700,2700,2700,2700,13,2,810,1114.8060769247911,5.556999996770173,2674.5736000011675,218.3846153846154
1784807466,5,,Aggregated,1.125000,0.125000,810,2100,2200,2300,2400,2700,2700,2700,2700,2700,2700,13,2,810,1114.8060769247911,5.556999996770173,2674.5736000011675,218.3846153846154
1784807467,5,,Aggregated,1.100000,0.200000,810,2100,2200,2300,2400,2700,2700,2700,2700,2700,2700,14,2,340,1050.128450001856,5.556999996770173,2674.5736000011675,241.78571428571428
1784807468,5,,Aggregated,1.300000,0.200000,810,810,2200,2300,2400,2700,2700,2700,2700,2700,2700,15,3,810,1033.8508533352676,5.556999996770173,2674.5736000011675,233.33333333333334
1784807469,5,,Aggregated,1.300000,0.200000,810,810,2200,2200,2400,2700,2700,2700,2700,2700,2700,16,4,810,1019.7757375017318,5.556999996770173,2674.5736000011675,225.9375
1784807470,5,,Aggregated,1.400000,0.200000,810,850,2200,2300,2700,2900,2900,2900,2900,2900,2900,18,5,810,1112.6450833350343,5.556999996770173,2859.606400001212,211.05555555555554
1784807471,5,,Aggregated,1.400000,0.300000,810,850,2200,2300,2700,2900,2900,2900,2900,2900,2900,19,6,810,1096.5824105277486,5.556999996770173,2859.606400001212,206.0
1784807472,5,,Aggregated,1.400000,0.400000,810,1400,2200,2300,2700,2900,2900,2900,2900,2900,2900,20,7,810,1113.0086650009616,5.556999996770173,2859.606400001212,201.45
1784807473,5,,Aggregated,1.300000,0.500000,810,1300,2100,2200,2400,2700,2900,2900,2900,2900,2900,23,8,810,1103.006482610236,5.556999996770173,2859.606400001212,207.6086956521739
1784807474,5,,Aggregated,1.400000,0.600000,810,1300,2100,2200,2400,2700,2900,2900,2900,2900,2900,25,8,810,1112.6428960013436,5.556999996770173,2859.606400001212,215.6
1784807475,5,,Aggregated,1.400000,0.600000,810,1300,2100,2200,2400,2700,2900,2900,2900,2900,2900,25,8,810,1112.6428960013436,5.556999996770173,2859.606400001212,215.6
1784807476,5,,Aggregated,1.300000,0.700000,810,1100,1400,2200,2400,2700,2900,2900,2900,2900,2900,29,9,810,1008.1197827590775,5.556999996770173,2859.606400001212,214.0344827586207
1784807477,5,,Aggregated,1.300000,0.700000,810,1100,1400,2200,2400,2700,2900,2900,2900,2900,2900,29,9,810,1008.1197827590775,5.556999996770173,2859.606400001212,214.0344827586207
1784807478,5,,Aggregated,1.200000,0.600000,810,850,1400,2100,2300,2700,2900,2900,2900,2900,2900,32,9,810,935.1149343751786,5.556999996770173,2859.606400001212,230.25
1784807479,5,,Aggregated,1.600000,0.700000,810,850,1300,2100,2300,2700,2900,2900,2900,2900,2900,33,10,810,936.5266909096108,5.556999996770173,2859.606400001212,226.75757575757575
1784807481,5,,Aggregated,1.600000,0.700000,810,850,1300,2100,2300,2700,2900,2900,2900,2900,2900,33,10,810,936.5266909096108,5.556999996770173,2859.606400001212,226.75757575757575
